id;title;description;creation_date;update_date;resolution_date
1;fooey er;redact;2023-12-21T11:45:44;2023-12-21T13:38:57;2023-12-20T20:55:50
2;project um;soon collude gang;2023-12-21T12:55:27;2023-12-21T15:02:43;2023-12-20T22:12:15
3;superficial stingy lest;ultimate woot tall;2023-12-21T12:22:27;2023-12-20T20:51:43;2023-12-21T04:01:38
4;enrol frantically sunbathe;corridor consolidate;2023-12-21T06:46:39;2023-12-21T16:48:35;2023-12-21T15:05:38
5;but hamster blunder;crackle;2023-12-21T15:43:49;2023-12-21T13:28:35;2023-12-21T11:53:20
6;amongst;eek weakly;2023-12-21T18:02:23;2023-12-21T07:53:59;2023-12-20T22:27:22
7;save concertina mechanically;drat extend oof;2023-12-21T04:00:57;2023-12-21T13:09:19;2023-12-21T02:18:26
8;protect;mandarin;2023-12-21T14:25:26;2023-12-21T17:37:47;2023-12-21T08:28:07
9;neighbor;whereas;2023-12-21T10:36:11;2023-12-21T17:00:57;2023-12-21T14:12:06
10;ail amplify whinny;luxury upon;2023-12-21T16:58:24;2023-12-21T13:31:29;2023-12-21T04:41:56
